event_name,trigger,main_parameters,recommended_conversion,funnel_stage,notes
page_view_public_index,On public index page load,"page_name; center_id",no,1,"Entry point for public funnel"
public_cta_click,When user clicks booking/subscription CTA,"kind; name; price",no,1,"Micro intent signal"
begin_checkout,When user starts checkout from UI,"item_category; item_name; value_text",no,2,"Strong checkout intent"
purchase_success,When payment returns success,"source",yes,5,"Primary conversion for single booking"
purchase_cancelled,When payment is cancelled,"source",no,dropoff,"Use to diagnose checkout abandonment"
purchase_failed,When payment init/return fails,"reason",no,dropoff,"Track technical failures"
subscription_activated,When subscription is activated,"mode",yes,5,"Primary conversion for subscriptions"
booking_paid_mock,When mock booking payment is successful,"mode",no,5,"Dev/testing mode event"
page_view_public_register,On register page load,"page_name",no,3,"Registration step entry"
sign_up_attempt,When register form is submitted,"-",no,3,"Top-of-register attempt metric"
sign_up_failed,When register fails,"reason",no,dropoff,"Validation/rate-limit/mail failures"
sign_up_completed,When account created and verify-pending shown,"-",yes,4,"Signup conversion"
page_view_public_login,On login page load,"page_name",no,3,"Login step entry"
login_attempt,When login form is submitted,"-",yes,3,"Optional micro-conversion"
login_failed,When login fails,"reason",no,dropoff,"Credential/status/rate-limit failures"
page_view_verify_pending,On verify-pending page load,"page_name",no,4,"Email verification waiting page"
email_verification_resend_attempt,When resend-verification submitted,"-",no,4,"Track resend demand"
email_verification_resent,When resend-verification succeeds,"-",no,4,"Operational deliverability metric"
email_verification_resend_failed,When resend-verification fails,"reason",no,dropoff,"Rate-limit/SMTP failures"
page_view_forgot_password,On forgot-password page load,"page_name",no,support,"Recovery flow entry"
password_reset_request_attempt,When forgot-password form is submitted,"-",no,support,"Recovery intent"
password_reset_request_accepted,When forgot-password accepted,"-",no,support,"Neutral response for anti-enumeration"
password_reset_request_failed,When forgot-password fails,"reason",no,dropoff,"SMTP/rate-limit failures"
page_view_reset_password,On reset-password page load,"page_name",no,support,"Reset page view"
password_reset_attempt,When reset form is submitted,"-",no,support,"Reset submission attempt"
password_reset_failed,When reset fails,"reason",no,dropoff,"Weak/mismatch/rate-limit"
password_reset_completed,When reset succeeds and returns to login,"-",yes,support,"Optional recovery conversion"
